Registration Group,Support Item,Support Item Number,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
Personal Mobility Equipment,hoist mobile - bariatric (> 150 kg),05_123603161_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,"sling - band, standard",05_123603162_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,sling - toileting (with/without head support),05_123603163_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment, sling - divided leg (with/without head support),05_123603164_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,sling - full body,05_123603165_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,"sling - specialist, including bariatric",05_123603166_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,"hoist - mobile, standing position",05_123604167_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,"hoist mobile, sitting position solid seat",05_123606168_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,hoist- fixed to wall floor or ceiling,05_123612169_0105_1_2,,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,tactile sticks or white canes,05_123903170_0113_1_2,,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,assistive products for electronic orientation,05_123906171_0113_1_2,Ultra sonic sensing devices to assist orientation,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,assistive products for acoustic navigation,05_123909172_0113_1_2,Devices that give auditory prompts to assist with navigation.,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,tactile maps,05_123915173_0113_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,one or more small devices to assist with food and drink preparations,05_150300318_0103_1_2,Includes adapted cooking utensils and basic appliances.,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,one or more assistive devices to assist with dishwashing,05_150600320_0123_1_2,"Adapted dish cloths, utensils, detergent dispensers etc.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,one or more assistive products for eating and drinking,05_150900319_0103_1_2,"Adapted cups, spoons, cutlery and other assistive products for eating and drinking.",Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,other assistive equipment for household tasks,05_158800321_0123_1_2,Equipment specially selected due to the persons disability that enables them to perform household tasks like cleaning or maintenance,Each,N,,N,Assistive technology,5
Specialised Hearing Services,Hearing services program child under 4 yrs (AH only),05_177_0119_1_2,Hearing services program child under 4 yrs (AH only),Each,N,,N,Assistive technology,5
Specialised Hearing Services,Hearing services program child under 4 yrs (AH only) remote,05_178_0119_1_2,Hearing services program child under 4 yrs (AH only) remote,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,over bed table,05_180315322_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,electric lift chairs- sit to stand,05_180903180_0103_1_2,Chairs with an in built mechanical or electric system to assist participant in movement to a standing position.,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,lounge chairs with moulded seating,05_180921181_0103_1_2,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,modular seating systems,05_180939182_0105_1_2,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,adult postural chair with pressure relief- air type,05_180939183_0103_1_2,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,child postural chair with pressure relief- air type,05_180939184_0103_1_2,custom fit seating for people with body shape or pressure care needs to accommodate,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,"child postural chair- feeding, minimum components",05_180939185_0103_1_2,feeding seat for a child with basic supports,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,child postural chair with maximum components,05_180939186_0103_1_2,"feeding seat for a child with supports for head, body hips feet etc.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,customised backrest,05_181003192_0105_1_2,back rest with components individually aligned for participant,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,custom made back rest,05_181003193_0105_1_2,"For example, moulded or shaped rest or seat.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,seat cushion- air cushion - other,05_181006187_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,air cushion high profile,05_181006188_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,air cushion low profile,05_181006189_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,"combination cushion - gel, foam, and air",05_181006190_0105_1_2,,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair head rest- complex support needs,05_181012191_0105_1_2,head support for person with very high support needs due to high muscle tone or complete paralysis,Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,wheelchair tray,05_181024194_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,custom made postural seating system,05_181088195_0105_1_2,"For example, moulded or shaped rest or seat.",Each,Y,,N,Assistive technology,5
Personal Mobility Equipment,customised postural seating system,05_181088196_0105_1_2,"For example, moulded or shaped back rest and seats with components individually aligned for participant.",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,"beds - power adjust, estimate",05_181210197_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,beds - power adjust 4 section,05_181210198_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,beds - power adjust- child suitable rails,05_181210199_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,beds - extra width or height power adjust,05_181210200_0103_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,beds - hi lo with companion bed,05_181210201_0103_1_2,"hi-lo bed with second detachable bed for partner, detachment is to assist with care needs",Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed blocks,05_181212202_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed cradle- adjustable height,05_181221203_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,sleep system,05_181224204_0103_1_2,Positioning cushions to help a participant maintain a consistent and optimal position while sleeping or resting.,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed rails covers,05_181227206_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed rails,05_181227207_0103_1_2,Rails which attach to a bed to prevent the participant falling out. Price guidance is for one bed rail.,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,beds - extensions,05_181233208_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed wedges (positioning),05_181288205_0103_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,adapted furniture - other,05_188800051_0103_1_2,"includes therapy cushions, conductive education furniture, hand grips mounted on furniture etc",Each,N,,N,Assistive technology,5
Vision Equipment                                            ,image-enlarging video systems- zoom text,05_220318209_0113_1_2,video system which magnifies text or pictures,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,image-enlarging video systems- desk top magnifier,05_220318243_0113_1_2,,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,other vision equipment not listed,05_220388244_0113_1_2,,Each,Y,,N,Assistive technology,5
Specialised Hearing Services,"Annual fee for hearing aid maintenance, batteries, consumables",05_220600213_0119_1_2,"Annual fee for hearing aid maintenance, batteries, consumables",Year,N,,N,Assistive technology,5
Hearing Services,hearing aid (one) higher needs-amount in addition to OHS subsidy,05_220615215_0134_1_2,hearing aid (one) higher needs-amount in addition to OHS subsidy,Each,Y,,N,Assistive technology,5
Hearing Services,hearing aid (two) higher needs-amount in addition to OHS subsidy,05_220615216_0134_1_2,hearing aid (two) higher needs-amount in addition to OHS subsidy,Each,Y,,N,Assistive technology,5
Specialised Hearing Services ,vibro tactile devices,05_220618229_0119_1_2,A device that picks up sound and transforms it into a vibrating signal that is felt by the user,Each,Y,,N,Assistive technology,5
Specialised Hearing Services,cochlear implant speech processor and coil - CSO - AH only (in kind),05_220621217_0119_1_2,cochlear implant speech processor and coil - CSO - AH only (in kind),Each,N,,N,Assistive technology,5
Specialised Hearing Services,external components for other implantable devices,05_220621218_0119_1_2,external components for other implantable devices,Each,N,,N,Assistive technology,5
Specialised Hearing Services,cochlear implant speech processor and coil - non CSO,05_220621443_0119_1_2,cochlear implant speech processor and coil - non CSO,Each,N,,N,Assistive technology,5
Hearing Services,hearing aid maintenance OHS voucher client contribution,05_220627220_0134_1_2,hearing aid maintenance OHS voucher client contribution,Each,N,,N,Assistive technology,5
Specialised Hearing Services,Hearing aid replacement fee (lost or damaged beyond repair),05_220627221_0119_1_2,Hearing aid replacement fee (lost or damaged beyond repair),Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,personal amplifiers/binaural listener,05_220627222_0122_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,remote control (for hearing aids),05_220627227_0122_1_2,A remote control that enables changes to be made to hearing aids without touching the hearing devices. It allows access to volume and program changes for people with poor or nil manual dexterity and for use by carers.,Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,streamer,05_220627228_0122_1_2,"Enable wireless access to accessories such as mobile phones, MP3 players and audio devices for hearing aid users.",Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,music devices,05_220627230_0122_1_2,Portable couplers that allow hearing aid users to access music via audio devices,Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,tv device for hearing assistance,05_220627232_0122_1_2,Systems for delivering sound directly from the TV to the ear,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,voice generators,05_220903233_0124_1_2,Device held to neck which picks up vibrations and amplifies as speech.,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,voice amplifiers for personal use,05_220906234_0124_1_2,Device to amplify voice.,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,assistive products for drawing and writing,05_221200235_0113_1_2,,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,portable note-taking devices for braille,05_221221236_0113_1_2,,Each,Y,,N,Assistive technology,5
Comms & Info Equipment                                      ,word processing software,05_221224237_0124_1_2,,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,word processing software for alternate access- vision,05_221224238_0113_1_2,e.g. jaws,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,word processing software for alternate access- text recognition stand alone,05_221224239_0113_1_2,"e.g. clear reader, read easy",Each,N,,N,Assistive technology,5
Vision Equipment                                            ,sound recording and playing devices,05_221803240_0113_1_2,"A desk top unit which magnifies paper based or detailed small objects. For example, Daisy Player",Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,cctv/ electronic magnification unit,05_221818241_0113_1_2,desk top unit which magnifies paper based or detailed small objects,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,cctv electronic magnification unit- portable,05_221818242_0113_1_2,hand held unit which magnifies paper based or detailed small objects,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,decoders for videotext and text television,05_221821245_0113_1_2,,Each,N,,N,Assistive technology,5
Specialised Hearing Services ,radio frequency transmission systems for hearing,05_221824246_0119_1_2,"Remote microphone sound transmission systems can be used to overcome difficulties with distance, background noise and reverberation",Each,Y,,N,Assistive technology,5
Hearing Equipment                                           ,induction loop devices,05_221830247_0122_1_2,"Designed for individual use in private and public situations including  reception counters, meetings and other appointments",Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,microphones,05_221833248_0124_1_2,,Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,loudspeakers,05_221836223_0122_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,face-to-face communication assistive products,05_222100249_0124_1_2,"Communication boards accessed by pointing, eye gaze or other selection methods.",Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,communication software for computer or tablet,05_222102250_0124_1_2,Software to convert a tablet or computer device to a communication device.,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,customised commercial tablet,05_222102251_0124_1_2,,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,letter and symbol sets and boards,05_222103252_0124_1_2,Books or boards with letter symbols or pictures that assist with communication.,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,communication amplifiers,05_222106253_0124_1_2,device to amplify voice,Each,N,,N,Assistive technology,5
Hearing Equipmen,remote microphone system,05_222106442_0122_1_2,remote microphone system,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,static-single button device which provides audible message output,05_222109254_0124_1_2,,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,dynamic display dialogue units,05_222109255_0124_1_2,communication device with customisable and changing screens which allows a highly customised voice output generation,Each,Y,,N,Assistive technology,5
Comms & Info Equipment                                      ,text to speech device,05_222109256_0124_1_2,Keyed input converting text to speech.,Each,Y,,N,Assistive technology,5
Hearing Equipment                                           ,adapted landline telephone,05_222403225_0122_1_2,Assistive technology,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,mobile phone with voice output and enlargement,05_222406258_0113_1_2,,Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,telephone coupler,05_222421226_0122_1_2,Small portable device that attaches to the earpiece of the telephone  and amplifies sound,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,accessories for telephoning,05_222421257_0124_1_2,e.g. multipurpose big button switch,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,other alarms and door bells,05_222704219_0123_1_2,"Amplified, visual alert and/or vibratory alarms",Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,baby cry alerting systems for hearing impaired,05_222704266_0122_1_2,Visual or vibrating alert,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,adapted clocks,05_222712259_0123_1_2,,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,programmable memory aids,05_222716260_0123_1_2,,Each,N,,N,Assistive technology,5
Hearing Equipment                                           ,smoke alarm adapted for hearing impairment,05_222721231_0122_1_2,Visual alert or vibrating smoke alarm packages,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,personal reader- speech output,05_223003279_0124_1_2,,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,audio labellers,05_223021210_0113_1_2,"scanners or similar which reads symbol, bar codes or text",Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,personal reader- speech and visual output,05_223030280_0124_1_2,,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,adapted books,05_223088289_0112_1_2,books adapted with switches or other adaptions to enable a child or young person with disability to use them.,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,keyboards/ key guards,05_223603267_0124_1_2,guards that assist a person in activating the right part of a screen or keyboard,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,simple switches,05_223612268_0124_1_2,"Including single input switches, pressure, touch, and puff.",Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,switch adapted mouse,05_223612269_0124_1_2,Computer mouse adapted for switch access.,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,input software i.e. voice activated software,05_223618270_0124_1_2,Software that allows non-manual or alternate access to a computer.,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,head pointer,05_223621271_0124_1_2,assistive products to position screen pointer and to select items on computer display,Each,Y,,N,Assistive technology,5
Comms & Info Equipment                                      ,eye gaze system,05_223621272_0124_1_2,Hardware and software that directs or selects inputs by gaze to activate a computer or communication device.,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,tactile computer displays,05_223905273_0113_1_2,,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,braille printers- desk top,05_223906274_0113_1_2,,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,braille printers- portable,05_223906275_0113_1_2,,Each,Y,,N,Assistive technology,5
Vision Equipment                                            ,braille embosser- notetaker with voice output,05_223906276_0113_1_2,,Each,Y,,N,Assistive technology,5
Comms & Info Equipment                                      ,static audible player display,05_223907277_0124_1_2,,Each,N,,N,Assistive technology,5
Comms & Info Equipment                                      ,portable audible player for computer,05_223907278_0124_1_2,,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,environmental control systems,05_241303281_0123_1_2,,Each,Y,,N,Assistive technology,5
Assistive Prod-Household Task                               ,ECU controlled wireless mains socket,05_241303282_0123_1_2,,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,environmental control software,05_241306283_0123_1_2,,Each,Y,,N,Assistive technology,5
Comms & Info Equipment                                      ,fixed position systems - mounting for communication device,05_242403284_0124_1_2,adjustable method of attaching communication device to wheelchair or furniture,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,switch adapted toys,05_300303288_0112_1_2,Toys adapted with switches or other adaptions to enable a child or young person with disability to use them.,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,other toy adaptions,05_300303290_0112_1_2,,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,adapted mobility toy,05_300303302_0112_1_2,,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,assistive products for audio visual gaming,05_300309296_0112_1_2,Interfaces that allow a person with disability to access recreational gaming equipment when unable to do so through conventional routes,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,sport adaptions to wheelchair (power or manual),05_300900292_0112_1_2,,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,basketball wheelchair,05_300903294_0112_1_2,,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,rugby wheelchair,05_300903295_0112_1_2,,Each,Y,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,specialised bowling equipment,05_300912300_0112_1_2,,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,adapted recreation equipment - other,05_308800285_0112_1_2,"Products such as card holders, camera holders and adaptions to enable a person with disability to participate in recreational activity",Each,Y,,N,Assistive technology,5
Specialised Hearing Services ,Referral to Australian Hearing Community Service obligation program,05_352_0119_1_2,For more info see http://hearingservices.gov.au/wps/portal/hso/site/eligibility/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOJ9PA2MDI1MDLz8jc2NDDzNg0LNzExdDQ28TPULsh0VAaWtp70!/,Each,N,,N,Assistive technology,5
Assist-Travel/Transport                                     ,rental of adapted vehicle,05_353_0108_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,"repairs - mobility domain, after-hours (one unit)",05_500433443_0103_1_2,"repairs - mobility domain, after-hours (one unit)",Each,N,,N,Assistive technology,5
Custom Prosthetics,orthotic repair,05_500612441_0135_1_2,orthotic repair,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,minor prosthetic repair - average price,05_500624304_0135_1_2,,Each,N,,N,Assistive technology,5
Custom Prosthetics                                      ,major prosthetic repair - average price,05_500624305_0135_1_2,,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bathing and toileting equipment repair,05_500933306_0103_1_2,repairs to any toileting and bathing equipment,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,"repairs - mobility domain, wheeled mobility minor repair",05_501200307_0105_1_2,smaller repairs on newer chairs recently past warranty,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,"repairs - mobility domain, wheeled mobility major repair",05_501200308_0105_1_2,"Includes repairs for chairs usually over 4 years old, which may require work on actuators or other parts.",Each,Y,,N,Assistive technology,5
Vehicle modifications                                       ,repair vehicle modification,05_501212373_0109_1_2,"Repairs to specialist vehicle hoists, tie downs, driving adaptions",Each,N,,N,Assistive technology,5
Personal Mobility Equipment,tyres,05_501224309_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,battery or charger,05_501224310_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,transfer equipment repair,05_501236025_0105_1_2,transfer equipment repair,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,"repairs - personal care/safety, after-hours (one unit)",05_501288435_0105_1_2,"repairs - personal care/safety, after-hours (one unit)",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,electric bed repair,05_501812311_0103_1_2,,Each,N,,N,Assistive technology,5
Comms & Info Equipment,communication equipment or ECU repairs,05_502200312_0124_1_2,communication equipment or ECU repairs,Each,N,,N,Assistive technology,5
Specialised Hearing Services ,cochlear and other implantable processor repairs,05_502206313_0119_1_2,payable only if manufacturers invoice for repairs is retained,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,vision equipment repair,05_502218315_0113_1_2,,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,specialised recreation equipment repairs,05_503000316_0112_1_2,,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,"toilet and bathroom equipment delivery, set up/ training",05_700912325_0103_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",Hour,N,,N,Assistive technology,5
Personal Mobility Equipment,"walking equipment delivery, set up/ training",05_701206326_0105_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",Each,N,,N,Assistive technology,5
Personal Mobility Equipment,"transfer equipment delivery, set up/ training",05_701236327_0105_1_2,"equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,seating/standing frame equipment delivery to a participant,05_701809328_0103_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,"seating/standing frame equipment delivery, set up/ training",05_701809338_0103_1_2,"equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,"bed/ mattress equipment delivery, set up/ training",05_701812329_0103_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for the participant’s disability specific needs and/or training in usage.",Each,N,,N,Assistive technology,5
Vision Equipment                                            ,"vision equipment delivery, set up/ training",05_702218330_0113_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for participant and or training.",Each,N,,N,Assistive technology,5
Comms & Info Equipment,programming / customisation of electronic equipment,05_702288440_0124_1_2,programming / customisation of electronic equipment,Hour,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,"ECU equipment delivery, set up/ training",05_702413331_0123_1_2,"Equipment delivery, removal from wrapping, fitting/adjusting for participant disability specific needs and/ or training.",Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,"recreation equipment delivery, set up/ training",05_703000332_0112_1_2,"Equipment delivery, removal from wrapping, set up adjustment and training for the participant's disability specific needs.",Each,N,,N,Assistive technology,5
Personal Mobility Equipment,"mobility equipment delivery, set up/ training",05_705012333_0105_1_2,"equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,toilet and bathroom equipment delivery,05_710912335_0103_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,walking equipment delivery to a participant,05_711206336_0105_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,transfer equipment delivery to a participant,05_711236337_0105_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed/ mattress equipment delivery to a participant,05_711812339_0103_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,vision equipment delivery to a participant,05_712218340_0113_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,ECU equipment delivery to a participant,05_712413341_0123_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,recreation equipment delivery to a participant,05_713000342_0112_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,mobility equipment delivery,05_715012343_0105_1_2,equipment delivery and removal from wrapping ready for use,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,general satchel/post delivery of equipment to a participant,05_718888439_0103_1_2,general satchel/post delivery of equipment to a participant,Each,N,,N,Assistive technology,5
Custom Prosthetics,orthotic or prosthetic componentry rental,05_800612438_0135_1_2,orthotic or prosthetic componentry rental,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,toilet and bathroom equipment rental,05_800912344_0103_1_2,short term rental or hire of bathroom or toilet equipment,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,walking equipment rental,05_801206345_0105_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,transfer equipment rental,05_801236346_0105_1_2,Equipment rental -  per week,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,flexible equipment package (for changing need) - annual amount,05_801288434_0103_1_2,flexible equipment package (for changing need) - annual amount,Each,Y,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,seating/standing frame equipment rental ,05_801809436_0103_1_2,seating/standing frame equipment rental ,Each,N,,N,Assistive technology,5
Assist Prod-Pers Care/Safety,bed and mattress rental,05_801812347_0103_1_2,weekly rate,Each,N,,N,Assistive technology,5
Comms & Info Equipment,communication equipment rental,05_802200437_0124_1_2,communication equipment rental,Each,N,,N,Assistive technology,5
Vision Equipment                                            ,vision equipment rental,05_802218348_0113_1_2,per week rate,Each,N,,N,Assistive technology,5
Assistive Prod-Household Task                               ,ECU rental,05_802413323_0123_1_2,,Each,N,,N,Assistive technology,5
Assistive Equip-Recreation                                  ,recreation equipment rental,05_803000349_0112_1_2,,Each,N,,N,Assistive technology,5
Personal Mobility Equipment,mobility equipment rental,05_805012350_0105_1_2,"short term rental of personal mobility equipment, quote not required but marked this way to allow price adjustment.",Each,N,,N,Assistive technology,5
Assistance Animals,assistance dog (including guide dog),05_900101023_0130_1_2,assistance dog (including guide dog),Each,Y,,N,Assistive technology,5
Home Modification                                           ,stair climber directed by attendant for wheelchair,06_121703375_0111_2_2,Portable tracked device which a wheelchair attaches to and then is tracked upstairs by attendant.,Each,Y,,N,Home modifications,6
Home Modification                                           ,grab rails- internal supply and install,06_181806381_0111_2_2,,Each,N,,N,Home modifications,6
Home Modification                                           ,home modifications- rails- external,06_181806382_0111_2_2,,Each,N,,N,Home modifications,6
Home Modification                                           ,supply and install specialised wall taps,06_182403383_0111_2_2,,Each,N,,N,Home modifications,6
Home Modification                                           ,home modifications- bathroom modification minimal structural work,06_182488376_0111_2_2,"Moving a bath tub or enlarging a shower recess to improve access, or similar smaller work.",Each,Y,,N,Home modifications,6
Home Modification                                           ,home modifications- bathroom modification extensive structural work,06_182488377_0111_2_2,"Extensive structural  bathroom changes. For example, removal of a bath or hobless-shower, electrical work, relocating plumbing, widening doorway, waterproofing or changes to the fit-out such as toilet, tap ware, basin, shower, rails paint and tiles.",Each,Y,,N,Home modifications,6
Home Modification                                           ,"home modifications- bathroom mod including combining bathroom, toilet or laundry",06_182488378_0111_2_2,"Modifications to combine bathroom, toilet and laundry. Includes  bath removal, hobless shower creation, plumbing relocation, electrical work, doorway changes, waterproofing and changes to bathroom fittings.",Each,Y,,N,Home modifications,6
Home Modification                                           ,home modifications- kitchen adaption- no structural work,06_182488379_0111_2_2,Modifications to a kitchen to enable a person with disability to access and use it.,Each,Y,,N,Home modifications,6
Home Modification                                           ,home modifications- minor miscellaneous adjustments,06_182488380_0111_2_2,"Lower cost adaptions such as door adjustments, safety installations and bathroom fittings.",Each,N,,N,Home modifications,6
Home Modification                                           ,elevator- home,06_183003384_0111_2_2,,Each,Y,,N,Home modifications,6
Home Modification                                           ,fixed vertical lifting platform-home,06_183005385_0111_2_2,platform attached to stairs or vertical drop which a wheelchair or scooter rides on,Each,Y,,N,Home modifications,6
