Registration Group,Support Item Number,Support Item,Support Item Description,Unit of Measure,Quote,Price Limit,Price Control,Support Categories,Support Category Number
Assistive Products For Personal Care And Safety,05_053603008_0103_1_2,Standing Frame - Child Over 5 Or Teen,Apparatus to hold a person in a standing position,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_053603009_0103_1_2,Standing Frame - Adult,Apparatus to hold a person in a standing position,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_053603010_0103_1_2,Standing Frame - Child Under 5,Apparatus to hold a person in a standing position,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_060318012_0135_1_2,Body Orthotic - Dynamic or Lycra,Body orthotic - dynamic/lycra,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_060606010_0135_1_2,Hand Orthotic,Hand splints provided as part of a shorter term therapy program,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_060688011_0135_1_2,Upper Limb Orthotic - Dynamic or Lycra,Lycra or other splints designed to improve functioning.,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061203015_0135_1_2,Foot Orthosis,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061203041_0135_1_2,Orthopaedic Shoes - Other Custom Made,Pair of shoes made for a participant who is unable to fit off the shelf or specialist shoes.,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061203042_0135_1_2,Orthopaedic Shoes - To Compensate For Muscle Weakness/Activity,Pair of shoes with extra depth or width that are commercially available,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061203043_0135_1_2,Orthopaedic Shoes To Add To The Length Of The Leg And Foot I.E. Shoe Raise,Adjustments to regular shoes required due to disability,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061206016_0135_1_2,Ankle-Foot Orthoses Prefabricated - Average Price,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061206017_0135_1_2,Ankle-Foot Orthoses Prefabricated - Sizes 1-4,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061206018_0135_1_2,"Ankle-Foot Orthoses Prefabricated - Regular, Large and Extra Large",,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061206019_0135_1_2,Ankle-Foot Orthoses Ankle Joint,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061206020_0135_1_2,Ankle-Foot Orthoses (AFO) Static Custom Made,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061209021_0135_1_2,Knee Orthoses,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061212022_0135_1_2,Knee-Ankle-Foot Orthoses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061213023_0135_1_2,Leg Orthoses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061215024_0135_1_2,Hip Orthoses,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061216025_0135_1_2,Hip-Knee Orthoses,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061217026_0135_1_2,Thigh Orthoses,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_061218013_0135_1_2,Lower Limb Orthotic - Dynamic or Lycra,Lower limb orthotic - dynamic/lycra,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061218027_0135_1_2,Hip-Knee-Ankle-Foot Orthoses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061219028_0135_1_2,Thoracolumbar/Lumbo-Sacral - Hip - Knee - Ankle - Foot Orthoses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061803029_0135_1_2,Partial Hand Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061806030_0135_1_2,Wrist Disarticulation Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061809031_0135_1_2,Trans-Radial Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061815032_0135_1_2,Trans-Humeral Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_061821033_0135_1_2,Forequarter Amputation Prostheses,,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_061826297_0112_1_2,Adaptions For Arm And Hand Prosthetics For Sport And Leisure,Terminal device to enable participation in sport,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_062403035_0135_1_2,Partial Foot Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_062406036_0135_1_2,Ankle Disarticulation Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_062409037_0135_1_2,Trans-Tibial Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_062415038_0135_1_2,Trans-Femoral Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_062418039_0135_1_2,Hip Disarticulation Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_062421040_0135_1_2,Trans-Pelvic Prostheses,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_062488034_0135_1_2,Lower Limb Prostheses - Other,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_062488298_0135_1_2,Specialist Prosthetic Lower Limb For Sports,,EA,Y,,N,Assistive technology,05
Customised Prosthetics,05_062488299_0135_1_2,Prosthetic Lower Limb Suitable For Wet Environments,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_090603045_0103_1_2,Helmets,Protective helmet for people with seizures or falls etc,EA,N,,N,Assistive technology,05
Vehicle Modifications,05_090703371_0109_1_2,Wheelchair-Based Restraint System,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_090900046_0103_1_2,One Or More Small Devices To Assist With Dressing And Undressing,One or more small devices to assist with dressing and undressing,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203047_0103_1_2,bedside commode adjustable folding,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203048_0103_1_2,bedside commode adjustable height,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203049_0103_1_2,Bedside Commode Extra Wide Or Bariatric,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203052_0103_1_2,Mobile Shower Commode - Self Propel Folding,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203053_0103_1_2,Mobile Shower Commode - Low Transporter,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203054_0103_1_2,Mobile Shower Commode - Bari Transporter - 550W,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203055_0103_1_2,Mobile Shower Commode - Child Transporter,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203056_0103_1_2,Mobile Shower Commode - Child Self Propel,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203057_0103_1_2,Mobile Shower Commode - Potty Child,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203058_0103_1_2,Mobile Shower Commode - Potty Junior,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203059_0103_1_2,Mobile Shower Commode - Transporter Slide Hi,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091203060_0103_1_2,Mobile Shower Commode - Specialised Child With Supports,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091212061_0103_1_2,toilet surround adjustable,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091212062_0103_1_2,toilet surround padded arms,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091218063_0103_1_2,Raised Toilet Seats Fixed To Toilet,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091221064_0103_1_2,seat toilet raise adjustable,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091221065_0103_1_2,seat toilet raise adjustable wide,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091221066_0103_1_2,seat toilet raise folding,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091221067_0103_1_2,seat toilet raise,Seat toilet raise - extra wide,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091224068_0103_1_2,Arm And Back Supports Mounted On Toilet or Free-Standing,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_091225069_0103_1_2,"arm supports and toilet back supports, free-standing",,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093300317_0103_1_2,bathing care and grooming aids,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093303078_0103_1_2,Bath Support - Special Design,"Postural support inserted into a bath or placed on a stand, for a child unable to sit unaided safely.",EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093303079_0103_1_2,bath support over 5 years,"Postural support inserted into a bath or placed on a stand, for a participant unable to sit or recline unaided safely.",EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093304076_0103_1_2,bathboard plastic no handle,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093305077_0103_1_2,Bath Corner Seat,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093307070_0103_1_2,chair shower adjustable with arms wide,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093307071_0103_1_2,chair shower bariatric (>150kg),,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093307072_0103_1_2,Chair Shower Swivel Type Or Bariatric,E.g. myco,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093307073_0103_1_2,stool shower adjustable,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093307074_0103_1_2,Stool Shower Adjustable With Arms And/Or Back,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093312075_0103_1_2,Specialised Shower Trolley,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093312080_0103_1_2,Change Table - Electronic,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093312081_0103_1_2,Change Table - Manual,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093318082_0103_1_2,Bidets - Detachable,Equipment attached to toilet with air and water dispenser for washing following toileting,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093327083_0103_1_2,Insert For Reducing Length Or Depth Of A Bathtub,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_093330084_0103_1_2,Specialised Seating For Bathroom Equipment,Custom made seating for shower commode or like bathroom item.,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_098800044_0103_1_2,Personal Care And Safety Equipment - Other,"Includes other reasonable and necessary personal care and safety equipment not listed, due to impact of participant's disability.",EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_120303085_0105_1_2,walking sticks and canes,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120303086_0105_1_2,quadrapod walking stick,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120306087_0105_1_2,elbow crutches,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120309088_0105_1_2,forearm support crutches,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120603089_0105_1_2,walking frame,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120603090_0105_1_2,walking frame- bariatric 180 kg,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120606091_0105_1_2,"Wheeled Walker - With Frame Bariatric, Arm Gutters Or Extra Wheels",,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120606095_0105_1_2,Wheeled Walker - Walker Posterior,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_120606096_0105_1_2,Four Wheeled Walker With Brakes And Seat,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120606097_0105_1_2,Rollator,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_120609099_0105_1_2,Walking Chairs For Children Aka Gait Trainers,Devices with a sling or seat that support the body when walking,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_120612100_0105_1_2,Walking Tables,Devices with wheels and supporting table or forearm support,EA,N,,N,Assistive technology,05
Vehicle Modifications,05_121204356_0109_1_2,Adaptions To Control Speed Of Car,,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121205357_0109_1_2,Adapted Brake/Parking Brake,,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121207358_0109_1_2,Adapted Steering System For Car,,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121208359_0109_1_2,"Adapted Mirrors, Door Locks For Car",,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121209360_0109_1_2,Seat Belts/Harnesses For Vehicles,,EA,N,,N,Assistive technology,05
Vehicle Modifications,05_121212355_0109_1_2,Specialised Child Car Seats - Requiring  Vehicle Modification,,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121212361_0109_1_2,Adapted Seating In Vehicles,,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121215362_0109_1_2,Vehicle Hoists Person Only,,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121218363_0109_1_2,Vehicle Adaption For Wheelchair Passenger,Hoist/ lift/ramp plus restraints for wheelchair and person including floor lowering if required,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121218364_0109_1_2,Adapt Vehicle Self Driver + Wheelchair,"Remote access, basic self drive plus vehicle hoist/ lift/ramp plus restraints for wheelchair and person including floor lowering if required",EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121218365_0109_1_2,Adapt Car Self-Drive Electro Mechanical,"Costs related to installing self-drive equipment. Includes installation automated doors, wheelchair docking, adaptions to steering, brake, gears and installation of electro mechanical controls.",EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121218366_0109_1_2,Car Modifications - Self Drive From Driver Seat,Includes spinners and accelerator control.,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121221354_0109_1_2,Ramps Vehicle - Unoccupied Wheelchair Loading,,EA,N,,N,Assistive technology,05
Vehicle Modifications,05_121221367_0109_1_2,Vehicle Mounted Hoist For Wheelchair Or Scooter - Occupied,Electronic or mechanical hoist mounted to car to lift wheelchair or scooter for transport.,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121224368_0109_1_2,Tie Downs For Vehicle,System to hold a wheelchair safely and steady whilst in transit- not for restraining the occupant,EA,N,,N,Assistive technology,05
Vehicle Modifications,05_121227369_0109_1_2,Adapt Vehicle Chassis And Body,,EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_121230370_0109_1_2,Trailer To Carry Wheelchairs,,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_121805101_0112_1_2,Hand-Propelled Bicycles,,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_121806409_0112_1_2,Specialist Tricycles Or Quadricycle - Foot Propelled,Specialist tricycles or quadricycle - foot propelled,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_121809102_0112_1_2,Specialist Tricycles Or Quadricycle - Hand Propelled,,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_121821103_0112_1_2,Disability Specific Cycle Adaptions,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203104_0105_1_2,wheelchair- manually propelled- average folding,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_122203105_0105_1_2,Wheelchair - Manual - Basic Folding - Adult,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_122203106_0105_1_2,Wheelchair - Manual Transit - Adult,"Wheelchairs that cannot be self-propelled, so are propelled by an attendant.",EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_122203107_0105_1_2,Wheelchair - Manual Folding - Child ,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203108_0105_1_2,Wheelchair - Manual Custom Folding,Frame is made to individual measurements,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203110_0105_1_2,Wheelchair - Manual Custom Bariatric - Adult,Manual wheelchair for person with increased weight in obese range.,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203111_0105_1_2,Wheelchair - Manual Custom Rigid Frame - Adult ,Frame is made to individual measurements,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203112_0105_1_2,Wheelchair - Manual Custom Made Steel Frame,Frame is made to individual measurements,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203113_0105_1_2,Wheelchair - Manual Custom Made Lightweight Frame,"Frame that is made to individual measurements. Made of titanium, aluminium or other lightweight material.",EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203114_0105_1_2,Wheelchair - Manual Custom Rigid Frame - Child,Frame is made to individual measurements,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203115_0105_1_2,Wheelchair - Manual Tilt In Space,Manual frame with seat and back rest able to be tipped as a unit past 90 degrees.,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203117_0105_1_2,wheelchair- manual + customised seating,Wheelchair and customised seating,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203118_0105_1_2,wheelchair- manual amputee,"Manual wheelchair. For example, balanced for lower limb amputee.",EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203119_0105_1_2,Wheelchair - Manual Custom Folding - Annual Fee,Frame is made to individual measurements - Annual Fee,YR,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122203120_0105_1_2,Wheelchair - Manual Tilt In Space - Annual Fee,Manual frame with seat and back rest able to be tipped as a unit past 90 degrees - Annual Fee.,YR,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_122203291_0112_1_2,Wheelchair - Recreational And Sport Use,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122209119_0105_1_2,Wheelchair - Manual - One Arm Drive/Lever,Manual wheelchair propelled by lever or dual hand rims,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122212120_0105_1_2,Wheelchair - Manual + Power Assisted Wheels,Manual wheelchair with powered wheels that amplify pushing effort,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_122218293_0112_1_2,Wheelchair - Beach/Sand Capable - Push,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122303121_0105_1_2,Scooters - 3 Wheels,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122303122_0105_1_2,Scooters - 4 Wheels,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122303123_0105_1_2,Scooters - 4 Wheels Heavy Duty,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306124_0105_1_2,Wheelchair - Powered Basic Folding,Power chair which folds when disassembled.,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306125_0105_1_2,Wheelchair - Powered Basic - Adult,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306127_0105_1_2,Wheelchair - Powered Basic - Child,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306129_0105_1_2,Wheelchair - Powered Tilt In Space - Adult,Powered drive with seat and back rest able to be tipped as a unit past 90 degrees,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306131_0105_1_2,Wheelchair - Powered With Powered Recline Or Leg Elevation,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306132_0105_1_2,Wheelchair - Powered Tilt In Space - Child,Powered drive with seat and back rest able to be tipped as a unit past 90 degrees,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306134_0105_1_2,"Wheelchair - Powered TIS, Recline - Adult","Powered drive with seat and back rest, able to be tipped as a unit past 90 degrees.",EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306136_0105_1_2,"Wheelchair - Powered TIS, Recline - Child","Powered with seat and back rest, able to be tipped as a unit past 90 degrees.",EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306138_0105_1_2,Wheelchair - Powered With Powered Seat Elevation,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306139_0105_1_2,Wheelchair - Powered With Powered Standing Mechanism,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306140_0105_1_2,Wheelchair - Powered Four Wheel Drive,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122306141_0105_1_2,Wheelchair - Powered - Bariatric Over 200kg,Powered wheelchair for person with increased weight in obese range.,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122312142_0105_1_2,Wheelchair- Powered Attendant Controlled,Powered wheelchair with attendant control instead of or as well as participant control.,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122315143_0105_1_2,Wheelchair - Powered Stair Climbing,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122403144_0105_1_2,Wheelchair - Alternate Controls,Controls other than joy stick,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122707145_0105_1_2,Pram Or Stroller Accessories - Extra Supports For Oversized Pram,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122707146_0105_1_2,Pram Or Stroller - Oversized,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_122707147_0105_1_2,Pram Or Stroller - Specialised With Adjustable Seating,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122707148_0105_1_2,Alternate Base For Stroller,Hi lo or other base for specialised stroller seating,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122715149_0105_1_2,Crawlers And Mobility Boards,Floor level cart or wheel device for floor mobility,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_122718150_0105_1_2,Wheeled Stretcher - Self Propelled,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_123103151_0105_1_2,transfer equipment- slide sheet,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123103152_0105_1_2,board transfer wood,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123103153_0105_1_2,car transfer pad,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123106154_0105_1_2,transfer turn table,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_123109155_0103_1_2,bed sticks- standard,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_123109156_0103_1_2,bed sticks-townsend long,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_123109157_0103_1_2,bed pole for electric bed,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123112158_0105_1_2,grip ladder,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123115159_0105_1_2,transfer belt,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_123121160_0103_1_2,bath transfer bench no back,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123603161_0105_1_2,Hoist Mobile,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_123603162_0105_1_2,"Sling - Band, Standard",,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123603163_0105_1_2,Sling - Toileting (With/Without Head Support),,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123603164_0105_1_2,Sling - Divided Leg (With/Without Head Support),,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123603165_0105_1_2,Sling - Full Body,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123603166_0105_1_2,"Sling - Specialist, Including Bariatric",,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_123604167_0105_1_2,"Hoist - Mobile, Standing Position",,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_123606168_0105_1_2,"Hoist - Mobile, Sitting Position Solid Seat",,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_123612169_0105_1_2,Hoist - Fixed To Wall Floor Or Ceiling,,EA,Y,,N,Assistive technology,05
Vision Equipment,05_123903170_0113_1_2,tactile sticks or white canes,,EA,N,,N,Assistive technology,05
Vision Equipment,05_123906171_0113_1_2,Assistive Products For Electronic Orientation,Ultra sonic sensing devices to assist orientation,EA,N,,N,Assistive technology,05
Vision Equipment,05_123909172_0113_1_2,Assistive Products For Acoustic Navigation,Devices that give auditory prompts to assist with navigation.,EA,Y,,N,Assistive technology,05
Vision Equipment,05_123915173_0113_1_2,Tactile Map Set,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_150300318_0103_1_2,one or more small devices to assist with food and drink preparations,Includes adapted cooking utensils and basic appliances.,EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_150600320_0123_1_2,one or more assistive devices to assist with dishwashing,"Adapted dish cloths, utensils, detergent dispensers etc.",EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_150900319_0103_1_2,one or more assistive products for eating and drinking,"Adapted cups, spoons, cutlery and other assistive products for eating and drinking.",EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_158800321_0123_1_2,other assistive equipment for household tasks,Equipment specially selected due to the persons disability that enables them to perform household tasks like cleaning or maintenance.,EA,N,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_177_0119_1_2,Hearing Services Program - Child Under 4 Yrs (AH Only),Hearing services program child under 4 yrs (AH only),EA,N,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_178_0119_1_2,Hearing Services Program - Child Under 4 Yrs (AH Only) - Remote,Hearing services program child under 4 yrs (AH only) remote,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_180315322_0103_1_2,over bed table,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_180903180_0103_1_2,Electric Lift Chairs - Sit To Stand,Chairs with an in built mechanical or electric system to assist participant in movement to a standing position.,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_180921181_0103_1_2,Lounge Chairs With Moulded Seating,Custom fit seating for people with body shape or pressure care needs to accommodate,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_180939182_0105_1_2,Modular Seating Systems,Custom fit seating for people with body shape or pressure care needs to accommodate,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_180939183_0103_1_2,Adult Postural Chair With Pressure Relief - Air Type,Custom fit seating for people with body shape or pressure care needs to accommodate,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_180939184_0103_1_2,Child Postural Chair With Pressure Relief - Air Type,Custom fit seating for people with body shape or pressure care needs to accommodate,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_180939187_0103_1_2,Child Postural Chair,Feeding seat for a child,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_181003192_0105_1_2,Back Support - Customised,Back supports with components individually aligned for participant,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_181003193_0105_1_2,Back Support - Custom Made,Back supports that are moulded or shaped rest or seat.,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_181006187_0105_1_2,Seat Cushion - Air - Other,,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_181006188_0105_1_2,Seat Cushion - Air,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_181006189_0105_1_2,air cushion low profile,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_181006190_0105_1_2,"Seat Cushion - Gel, Foam And Air Combination",,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_181012191_0105_1_2,Wheelchair Head Rest - Complex Support Needs,Head support for person with very high support needs due to high muscle tone or complete paralysis.,EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_181024194_0105_1_2,Wheelchair Tray,,EA,N,,N,Assistive technology,05
